number	label_nr	label	DKT_nr	gray_csf_subcortical
1	1002	leftcaudalanteriorcingulate	1	1
2	1003	leftcaudalmiddlefrontal	2	1
3	1005	leftcuneus	3	1
4	1006	leftentorhinal	4	1
5	1007	leftfusiform	5	1
6	1008	leftinferiorparietal	6	1
7	1009	leftinferiortemporal	7	1
8	1010	leftisthmuscingulate	8	1
9	1011	leftlateraloccipital	9	1
10	1012	leftlateralorbitofrontal	10	1
11	1013	leftlingual	11	1
12	1014	leftmedialorbitofrontal	12	1
13	1015	leftmiddletemporal	13	1
14	1016	leftparahippocampal	14	1
15	1017	leftparacentral	15	1
16	1018	leftparsopercularis	16	1
17	1019	leftparsorbitalis	17	1
18	1020	leftparstriangularis	18	1
19	1021	leftpericalcarine	19	1
20	1022	leftpostcentral	20	1
21	1023	leftposteriorcingulate	21	1
22	1024	leftprecentral	22	1
23	1025	leftprecuneus	23	1
24	1026	leftrostralanteriorcingulate	24	1
25	1027	leftrostralmiddlefrontal	25	1
26	1028	leftsuperiorfrontal	26	1
27	1029	leftsuperiorparietal	27	1
28	1030	leftsuperiortemporal	28	1
29	1031	leftsupramarginal	29	1
30	1034	lefttransversetemporal	30	1
31	1035	leftinsula	31	1
32	2002	rightcaudalanteriorcingulate	1	1
33	2003	rightcaudalmiddlefrontal	2	1
34	2005	rightcuneus	3	1
35	2006	rightentorhinal	4	1
36	2007	rightfusiform	5	1
37	2008	rightinferiorparietal	6	1
38	2009	rightinferiortemporal	7	1
39	2010	rightisthmuscingulate	8	1
40	2011	rightlateraloccipital	9	1
41	2012	rightlateralorbitofrontal	10	1
42	2013	rightlingual	11	1
43	2014	rightmedialorbitofrontal	12	1
44	2015	rightmiddletemporal	13	1
45	2016	rightparahippocampal	14	1
46	2017	rightparacentral	15	1
47	2018	rightparsopercularis	16	1
48	2019	rightparsorbitalis	17	1
49	2020	rightparstriangularis	18	1
50	2021	rightpericalcarine	19	1
51	2022	rightpostcentral	20	1
52	2023	rightposteriorcingulate	21	1
53	2024	rightprecentral	22	1
54	2025	rightprecuneus	23	1
55	2026	rightrostralanteriorcingulate	24	1
56	2027	rightrostralmiddlefrontal	25	1
57	2028	rightsuperiorfrontal	26	1
58	2029	rightsuperiorparietal	27	1
59	2030	rightsuperiortemporal	28	1
60	2031	rightsupramarginal	29	1
61	2034	righttransversetemporal	30	1
62	2035	rightinsula	31	1
63	630	cerebellarvermallobulesI-V	NaN	0
64	631	cerebellarvermallobulesVI-VII	NaN	0
65	632	cerebellarvermallobulesVIII-X	NaN	0
66	91	leftbasalforebrain	NaN	0
67	92	rightbasalforebrain	NaN	0
68	16	Brainstem	NaN	0
69	24	CSF	NaN	2
70	14	3rdventricle	NaN	2
71	15	4thventricle	NaN	2
72	72	5thventricle	NaN	2
73	85	opticchiasm	NaN	0
74	4	leftlateralventricle	NaN	2
75	5	leftinferiorlateralventricle	NaN	2
76	6	leftcerebellumexterior	NaN	0
77	7	leftcerebellumwhitematter	NaN	0
78	10	leftthalamusproper	NaN	3
79	11	leftcaudate	NaN	3
80	12	leftputamen	NaN	3
81	13	leftpallidum	NaN	3
82	17	lefthippocampus	NaN	4
83	18	leftamygdala	NaN	4
84	25	leftlesion	NaN	0
85	26	leftaccumbensarea	NaN	3
86	28	leftventralDC	NaN	0
87	30	leftvessel	NaN	0
88	91	leftbasalforebrain	NaN	0
89	43	rightlateralventricle	NaN	2
90	44	rightinferiorlateralventricle	NaN	2
91	45	rightcerebellumexterior	NaN	0
92	46	rightcerebellumwhitematter	NaN	0
93	49	rightthalamusproper	NaN	3
94	50	rightcaudate	NaN	3
95	51	rightputamen	NaN	3
96	52	rightpallidum	NaN	3
97	53	righthippocampus	NaN	4
98	54	rightamygdala	NaN	4
99	57	rightlesion	NaN	0
100	58	rightaccumbensarea	NaN	3
101	60	rightventralDC	NaN	0
102	62	rightvessel	NaN	0
103	92	rightbasalforebrain	NaN	0
104	630	cerebellarvermallobulesI-V	NaN	0
105	631	cerebellarvermallobulesVI-VII	NaN	0
106	632	cerebellarvermallobulesVIII-X	NaN	0
